
Minutes,num_trips
1,1363
2,6921
3,23050
4,43262
5,48385
6,51965
7,54070
8,53964
9,49990
10,44226
11,38052
12,31717
13,25508
14,20507
15,15786
16,11555
17,8193
18,5877
19,4010
20,2975
21,2149
22,1704
23,1399
24,1193
25,1003
26,844
27,705
28,556
29,461
30,422
31,350
32,304
33,263
34,236
35,203
36,182
37,162
38,159
39,145
40,120
41,122
42,119
43,104
44,100
45,84
46,95
47,93
48,113
49,86
50,82
51,100
52,85
53,71
54,101
55,77
56,78
57,78
58,65
59,64
60,86
61,64
62,68
63,49
64,48
65,65
66,57
67,48
68,43
69,57
70,52
71,48
72,32
73,52
74,44
75,37
76,50
77,29
78,47
79,35
80,54
81,51
82,48
83,50
84,37
85,25
86,34
87,30
88,48
89,29
90,39
91,29
92,28
93,36
94,38
95,37
96,41
97,33
98,30
99,39
100,28
101,25
102,21
103,31
104,42
105,27
106,25
107,46
108,32
109,24
110,29
111,24
112,16
113,20
114,29
115,29
116,24
117,26
118,24
119,24
120,19
121,22
122,22
123,22
124,24
125,31
126,21
127,20
128,19
129,19
130,11
131,19
132,17
133,19
134,23
135,15
136,15
137,20
138,23
139,20
140,12
141,15
142,27
143,22
144,11
145,16
146,16
147,18
148,10
149,17
150,21
151,11
152,12
153,15
154,11
155,9
156,16
157,16
158,22
159,25
160,12
161,13
162,8
163,8
164,11
165,10
166,10
167,11
168,15
169,11
170,14
171,12
172,20
173,23
174,14
175,10
176,12
177,15
178,11
179,8
180,11
181,9
182,11
183,11
184,9
185,9
186,12
187,10
188,11
189,10
190,10
191,8
192,9
193,14
194,6
195,12
196,9
197,8
198,6
199,9
200,11
201,6
202,21
203,10
204,8
205,10
206,11
207,12
208,6
209,9
210,5
211,1
212,2
213,8
214,7
215,3
216,6
217,9
218,11
219,4
220,10
221,7
222,5
223,4
224,9
225,6
226,8
227,4
228,6
229,3
230,7
231,4
232,8
233,6
234,5
235,8
236,6
237,3
238,6
239,3
240,4
241,7
242,4
243,9
244,5
245,9
246,6
247,8
248,6
249,9
250,6
251,6
252,10
253,13
254,6
255,6
256,5
257,7
258,4
259,3
260,4
261,5
262,7
263,7
264,4
265,3
266,5
267,4
268,5
269,1
270,3
271,5
272,11
273,4
274,6
275,2
276,5
277,6
278,2
279,9
280,3
281,2
282,6
283,4
284,1
285,4
286,4
287,5
288,1
289,3
290,4
291,4
292,2
293,3
294,3
295,7
296,5
297,4
298,3
299,5
300,2
301,1
302,2
303,3
304,2
305,3
306,5
307,1
309,2
310,3
311,2
312,4
313,6
314,2
315,3
316,4
318,3
319,4
320,2
321,4
323,1
324,4
