
DAY_OF_WEEK,HOUR,num_trips
1,6,343
1,18,2829
1,23,470
1,16,4578
1,7,729
1,12,4842
1,10,3656
1,9,2763
1,13,4918
1,21,1075
1,5,162
1,0,588
1,14,4805
1,3,104
1,17,3785
1,1,396
1,15,4961
1,19,2083
1,22,693
1,2,232
1,20,1448
1,11,4494
1,4,56
1,8,1365
2,7,12992
2,11,5457
2,19,7662
2,2,74
2,5,865
2,16,15569
2,10,6774
2,9,17541
2,14,4952
2,6,3840
2,23,668
2,22,1286
2,21,2383
2,17,24706
2,20,3874
2,3,101
2,0,228
2,8,25443
2,4,260
2,12,6462
2,1,119
2,15,6847
2,18,16016
2,13,5818
3,17,25458
3,21,2731
3,1,111
3,23,860
3,3,75
3,11,6044
3,12,7524
3,6,4510
3,0,302
3,18,17464
3,19,8131
3,14,5155
3,2,65
3,7,14497
3,20,4384
3,15,7318
3,9,18873
3,13,6379
3,8,28138
3,4,259
3,10,6934
3,5,1056
3,22,1703
3,16,16434
4,15,7385
4,20,4388
4,2,96
4,3,84
4,22,1856
4,16,15942
4,14,5243
4,23,969
4,21,2940
4,0,359
4,7,13827
4,4,256
4,13,6478
4,10,7068
4,9,18925
4,17,24650
4,12,7199
4,1,190
4,18,16728
4,19,7821
4,11,6085
4,6,4176
4,8,27043
4,5,1059
5,0,380
5,1,175
5,8,26014
5,16,15481
5,15,7539
5,23,1074
5,3,87
5,11,6572
5,22,1837
5,2,90
5,9,18247
5,18,15740
5,10,7091
5,4,261
5,17,23312
5,5,963
5,14,5718
5,13,6997
5,20,4045
5,21,2753
5,7,13360
5,12,7715
5,19,7517
5,6,3940
6,16,15574
6,2,95
6,11,6554
6,1,202
6,15,8335
6,18,12240
6,22,1661
6,20,2801
6,21,2021
6,14,6522
6,13,7357
6,8,22361
6,7,11224
6,17,20206
6,9,16678
6,19,5453
6,5,856
6,12,7482
6,0,427
6,6,3364
6,23,1226
6,10,7021
6,4,237
6,3,80
7,11,5201
7,12,5726
7,3,74
7,5,137
7,1,418
7,4,69
7,2,225
7,23,928
7,0,645
7,22,1234
7,19,2404
7,6,346
7,18,3552
7,7,902
7,15,5241
7,21,1355
7,20,1807
7,8,2100
7,10,4238
7,17,4185
7,14,5457
7,16,5177
7,13,5767
7,9,3091
